car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,normal_hours,other_hours
MP5,BLK 52/57 MARINE TERRACE,1.306109647,103.9161652,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
MP5M,BLK 47A MARINE CRESCENT,1.305448024,103.9124784,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,2,2.15,N,0.6,0.6
MP5S,BLK 45 MARINE CRESCENT,1.304672037,103.9125692,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,0.6,0.6
MP6,BLK 50/50A/53 MARINE TERRACE,1.30549658,103.9163814,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
MP6M,BLK 77A MARINE DRIVE,1.302298274,103.9082862,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,0.6,0.6
MP6S,BLK 77 MARINE DRIVE,1.302103006,103.9083381,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
MP7,BLK 54/55/56/58/59 MARINE TERRACE,1.305581278,103.9146888,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
MR3,BLK 1/2 MAUDE ROAD,1.307693526,103.8590925,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
MR4,BLK 7 KING GEORGE AVENUE,1.307914043,103.8599731,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
MR5,"BLK 804/805, 809 MAUDE ROAD",1.308155503,103.8607918,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.5,N,0.6,0.6
MR6,BLK 8 FRENCH ROAD,1.307167406,103.8605365,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
MR7,BLK 801/802 FRENCH ROAD,1.307562885,103.8603922,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.4,N,0.6,0.6
M1,BLK 85 TO 94/92A PIPIT ROAD,1.323074781,103.8864364,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
M16,BLK 37 CIRCUIT ROAD,1.328431167,103.8866723,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
M20,BLK 65 & 80 CIRCUIT RD,1.327590453,103.8872656,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
M25,BLK 53 TO 56/68/70/71/72 PIPIT RD/CIRCUIT RD,1.324225444,103.8881777,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,0.6,0.6
M28,BLK 82A/83 MACPHERSON LANE,1.331125566,103.8851575,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,0.6,0.6
M29,BLK 12 TO 14 MERPATI RD,1.327392375,103.8820554,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
M3,BLK 19 TO 21/23/24/30/32 BALAM RD,1.330680856,103.8857074,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,0.6,0.6
M32,BLK 120 TO 124 PAYA LEBAR WAY,1.322312871,103.882793,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
M33,BLK 125 TO 126 ALJUNIED ROAD,1.323245792,103.8821727,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
M34,BLK 81/82 MACPHERSON LANE,1.332507957,103.8856404,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
M35,BLK 41 TO 42 CIRCUIT ROAD,1.327281852,103.885915,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N,0.6,0.6
M36,BLK 43 CIRCUIT ROAD,1.326703518,103.885456,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N,0.6,0.6
M37,BLK 38 TO 40 CIRCUIT ROAD,1.327677409,103.8856051,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N,0.6,0.6
M38,BLK 63 TO 64 CIRCUIT ROAD,1.327153049,103.8874767,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0,N,0.6,0.6
M4,BLK 22/34/36 CIRCUIT RD,1.329022794,103.8876597,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
NBRM,BLK 13 NORTH BRIDGE ROAD MSCP,1.304003617,103.8630104,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,0.6,0.6
NTL,BLK 601 - 605A/D TAMPINES AVE 9/ ST 61,1.362139575,103.9350586,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N,0.6,0.6
NT1,BLK 601 TAMPINES AVE 9,1.361195965,103.9362759,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
NT2,BLK 605 TAMPINES ST 61,1.362119829,103.9363263,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
NT3,BLK 609 TAMPINES NTH DR 1,1.364048588,103.9362414,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,0.6,0.6
NT4,613 TAMPINES NTH DR 1,1.365415725,103.9362137,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,0.6,0.6
NT5,BLK 618 TAMPINES STREET 61,1.361661399,103.9399015,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,N,0.6,0.6
PDC4,BLK 475 CHOA CHU KANG AVE 3,1.377887715,103.7387461,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,4,2.15,N,0.6,0.6
PDC5,BLK 533A CHOA CHU KANG ST 51,1.391575269,103.7433702,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2,N,0.6,0.6
PDJ3,BLK 399 YUNG SHENG RD,1.334715391,103.7204151,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.1,Y,0.6,0.6
PDJ7,BLK 762A JURONG WEST ST 75,1.348961591,103.6979101,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2,N,0.6,0.6
PDL1,BLK 168 PUNGGOL FIELD,1.394146066,103.9129505,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,NO,NO,2,2.15,Y,0.6,0.6
PDP4,BLK 446A FAJAR ROAD,1.383767523,103.7713712,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N,0.6,0.6
PDP5,BLK 524A JELAPANG ROAD,1.385416093,103.7660721,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,N,0.6,0.6
PDQ5,BLK 57 DAWSON RD,1.29267933,103.8109824,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N,0.6,0.6
PDR2,BLK 258 PASIR RIS ST 21,1.366925978,103.9645502,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,1.9,N,0.6,0.6
PDR6,BLK 624A ELIAS RD,1.377911172,103.9417394,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,9,2,N,0.6,0.6
PDR7,BLK 734 PASIR RIS ST 72,1.379739506,103.9362361,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2,N,0.6,0.6
PDS1,BLK 118 RIVERVALE DR,1.385469998,103.9018339,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,0.6,0.6
PDT8,BLK 866A TAMPINES ST 83,1.355370368,103.9345108,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,Y,0.6,0.6
PDW5,BLK 548 WOODLANDS DR 44,1.430768169,103.7941461,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,0.6,0.6
PDW7,BLK 768 WOODLANDS AVE 6,1.445462285,103.7980606,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
PDW8,BLK 888A WOODLANDS DR 50,1.438136382,103.7951514,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.15,N,0.6,0.6
PD8W,BLK 883A WOODLANDS ST 82,1.44311644,103.7910463,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N,0.6,0.6
PLB1,BLK 440 PASIR RIS DRIVE 4,1.369084604,103.9588613,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N,0.6,0.6
PL10,BLK 174 PUNGGOL FIELD,1.396647592,103.9103062,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
PL11,BLK 175 PUNGGOL FIELD,1.398114413,103.9086506,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
PL12,BLK 137 EDGEDALE PLAINS,1.392370667,103.9094061,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,0.6,0.6
PL13,BLK 131 EDGEDALE PLAINS,1.393588655,103.9103894,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,0.6,0.6
PL14,BLK 292 PUNGGOL CENTRAL,1.402396878,103.9050495,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.15,N,0.6,0.6
PL15,BLK 171 EDGEDALE PLAINS,1.394862519,103.912585,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL16,BLK 180 EDGEFIELD PLAINS,1.398608857,103.9093683,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,0.6,0.6
PL17,BLK 642 PUNGGOL DRIVE,1.398717291,103.9163889,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL18,BLK 162 PUNGGOL CENTRAL,1.396092847,103.9143165,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL19,"BLK 186-188,190-192 PUNGGOL CENTRAL",1.399684772,103.9101039,BASEMENT CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,2,2.15,Y,0.6,0.6
PL20,BLK 638 PUNGGOL DRIVE,1.399555867,103.9151959,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL21,BLK 166 PUNGGOL CENTRAL,1.394970785,103.9154658,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL22,BLK 644 PUNGGOL CENTRAL,1.397739898,103.9159112,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.1,N,0.6,0.6
PL23,BLK 201 PUNGGOL FIELD,1.399766897,103.9036886,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,0.6,0.6
PL24,BLK 178 & 193 EDGEFIELD PLAINS,1.39955196,103.908336,BASEMENT CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,2,2.15,Y,0.6,0.6
PL25,BLK 172 EDGEDALE PLAINS,1.395519826,103.9117777,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,0.6,0.6
PL26,BLK 650 PUNGGOL CENTRAL,1.397283842,103.9153032,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,0.6,0.6
PL27,BLK 204 PUNGGOL FIELD,1.398463141,103.9030729,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,0.6,0.6
PL28,BLK 194 PUNGGOL ROAD,1.402009204,103.906516,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL29,BLK 633 PUNGGOL DRIVE,1.400538847,103.913266,BASEMENT CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1,2.15,Y,0.6,0.6
PL30,BLK 170D PUNGGOL EAST,1.394353945,103.9140938,BASEMENT CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1,2.15,Y,0.6,0.6
PL31,BLK 301 PUNGGOL CENTRAL,1.403678583,103.906198,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,YES,8,2.15,N,0.6,0.6
PL32,BLK 302 PUNGGOL PLACE,1.40484725,103.9046067,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,YES,10,2.15,N,0.6,0.6
PL33,BLK 621A - 621B EDGEFIELD WALK,1.401255387,103.9098907,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,0.6,0.6
PL34,BLK 603 PUNGGOL ROAD,1.403862281,103.9079825,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL35,BLK 602 PUNGGOL CENTRAL,1.403119329,103.9072935,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,0.6,0.6
PL36,BLK 305 PUNGGOL ROAD,1.406019757,103.9062231,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,N,0.6,0.6
PL37,BLK 614 EDGEFIELD PLAINS,1.403234914,103.9096571,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,0.6,0.6
PL38,BLK 612 PUNGGOL DRIVE,1.404599231,103.9086339,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
PL39,BLK 267 PUNGGOL FIELD,1.404000204,103.8979528,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N,0.6,0.6
PL40,BLK 270 PUNGGOL FIELD,1.403721064,103.8991503,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,2,2.15,N,0.6,0.6
PL41,BLK 273 PUNGGOL PLACE,1.402651088,103.9019427,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
PL42,BLK 616 PUNGGOL DRIVE,1.402126424,103.9116973,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,2,2.15,N,0.6,0.6
PL43,BLK 288 PUNGGOL PLACE,1.401714399,103.9030958,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,N,0.6,0.6
PL44,BLK 206A PUNGGOL PLACE,1.398856557,103.9013288,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,3.8,N,0.6,0.6
PL45,BLK 169 PUNGGOL FIELD,1.39362938,103.9145002,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,2,2.15,N,0.6,0.6
PL46,BLK 624 PUNGGOL CENTRAL,1.400259432,103.9116298,COVERED CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1,2.15,N,0.6,0.6
PL47,BLK 207 PUNGGOL PLACE,1.400626978,103.9009163,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,7,2.15,N,0.6,0.6
PL48,BLK 271 PUNGGOL WALK,1.403005118,103.9003838,COVERED CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,1,2.15,N,0.6,0.6
PL49,BLK 210 PUNGGOL PLACE,1.399343861,103.9003823,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,11,2.15,N,0.6,0.6
PL50,BLK 211 PUNGGOL WALK,1.401419289,103.8994382,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,6,2.15,N,0.6,0.6
PL51,BLK 213 PUNGGOL WALK,1.400010435,103.8986761,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,0.6,0.6
PL52,BLK 312 SUMANG LINK,1.410195118,103.9014605,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,0.6,0.6
PL53,BLK 266 PUNGGOL WAY,1.405276533,103.8982109,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
PL54,BLK 259 PUNGGOL FIELD,1.404506226,103.8953443,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,0.6,0.6
PL55,BLK 261 PUNGGOL WAY,1.405404806,103.8968416,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,0.6,0.6
PL56,BLK 672 EDGEFIELD PLAINS,1.407069979,103.9117299,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N,0.6,0.6
PL57,BLK 665 PUNGGOL DRIVE,1.401920865,103.9146872,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
PL58,663  PUNGGOL DRIVE,1.399914839,103.9167907,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,0.6,0.6
PL59,BLK 308 PUNGGOL WALK,1.408109322,103.8987607,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,Y,0.6,0.6
PL60,BLK 670 EDGEFIELD PLAINS,1.405822999,103.9132581,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,0.6,0.6
PL61,BLK 678 PUNGGOL DRIVE,1.406114903,103.9088899,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
PL62,BLK 256 SUMANG WALK,1.405533926,103.8955284,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
PL63,BLK 677 PUNGGOL DRIVE,1.405739873,103.9095797,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
PL64,BLK 676 PUNGGOL DRIVE,1.405292842,103.9102142,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N,0.6,0.6
PL65,BLK 310 PUNGGOL WALK,1.409762448,103.8997228,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.15,Y,0.6,0.6
PL66,BLK 121 EDGEDALE PLAINS,1.393583292,103.9083695,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,0.6,0.6
PL67,BLK 314 PUNGGOL WAY,1.40847387,103.8975134,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,0.6,0.6
PL68,BLK 217 SUMANG WALK,1.402849777,103.895639,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,0.6,0.6
PL69,BLK 661 EDGEDALE PLAINS,1.40253476,103.9176146,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,0.6,0.6
PL70,BLK 226 SUMANG LANE,1.403078094,103.893284,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
PL71,BLK 682 EDGEDALE PLAINS EDGEDALE PLAINS,1.404026087,103.9157987,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N,0.6,0.6
PL72,BLK 222 SUMANG LANE SUMANG LANE,1.401100942,103.8942788,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,0.6,0.6
PL74,BLK 233 SUMANG LANE,1.401260265,103.891603,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,0.6,0.6
PL75,BLK 325 SUMANG WALK,1.413449907,103.8987514,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,15,2.15,N,0.6,0.6
PL76,BLK 326 SUMANG WALK SUMANG WALK,1.413300796,103.8993283,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,0.6,0.6
PL77,BLK 659 PUNGGOL EAST ROAD,1.401012311,103.919552,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,0.6,0.6
PL78,BLK 322 SUMANG WALK,1.411220046,103.8975049,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,0.6,0.6
PL80,BLK 407A-407B NORTHSHORE WALK,1.416785659,103.9021078,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,0.6,0.6
PL81,BLK 421A NORTHSHORE DRIVE,1.41979221,103.9044827,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,4,2.15,Y,0.6,0.6
PM1,473A PASIR RIS DR 6,1.374282852,103.9566044,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
PM10,BLK 204A PASIR RIS STREET 21,1.366746421,103.962474,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,10,1.9,N,0.6,0.6
PM11,BLK 269A PASIR RIS STREET 21,1.364793275,103.963457,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,1.9,N,0.6,0.6
PM12,BLK 272A PASIR RIS STREET 21,1.364905493,103.9650289,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,1.9,N,0.6,0.6
PM13,BLK 199A PASIR RIS STREET 12,1.366473555,103.9595977,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.9,N,0.6,0.6
PM14,BLK 180A PASIR RIS STREET 11,1.364708433,103.9601054,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.9,N,0.6,0.6
PM15,BLK 158A PASIR RIS STREET 13,1.364160134,103.9616771,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N,0.6,0.6
PM16,BLK 149A PASIR RIS STREET 13,1.362358733,103.9627206,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N,0.6,0.6
PM17,BLK 142A PASIR RIS STREET 11,1.362838891,103.9597583,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N,0.6,0.6
PM18,BLK 135A PASIR RIS STREET 11,1.36475655,103.9568798,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2,N,0.6,0.6
PM19,BLK 108A PASIR RIS STREET 12,1.367956778,103.9570227,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2,N,0.6,0.6
PM2,BLK 220A PASIR RIS STREET 21,1.370073066,103.9610129,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,0.6,0.6
PM20,BLK 526 PASIR RIS STREET 51,1.368041633,103.947456,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,0.6,0.6
PM21,BLK 530 PASIR RIS DR 1,1.371196982,103.9494154,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,YES,15,2.15,N,0.6,0.6
