car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,normal_hours,other_hours
EC8,BLK 2A EUNOS MRT SIMS AVENUE,1.319226865,103.9032081,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
EI1,BLK 1001-1085 EUNOS INDUSTRIAL ESTATE,1.323432875,103.896847,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
EI3,BLK 410/411/414-417 EUNOS ROAD 5,1.318846467,103.8983797,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,0.6,0.6
EPL,BLK 1/7 EVERTON PARK,1.277163553,103.8399127,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N,0.6,0.6
EPM,BLK 6A EVERTON ROAD,1.276184436,103.8389082,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.15,N,0.6,0.6
FRM,BLK 808 FRENCH ROAD MSCP,1.308758633,103.8613647,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.5,N,0.6,0.6
FR2C,BLK 3/4 QUEEN'S ROAD,1.318278391,103.8077126,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.4,N,0.6,0.6
FR2S,BLK 2/3/4 QUEEN'S ROAD,1.317920697,103.8071839,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
FR3M,BLK 8A EMPRESS ROAD,1.316694831,103.8062106,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,0.6,0.6
FR4M,BLK 6A FARRER ROAD,1.316875727,103.8075345,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N,0.6,0.6
